product_id,category_id,brand_id,name,slug,sku,short_description,description,base_price,compare_price,avg_rating,total_sold,warranty_months,status,created_at,updated_at
1,1,1,"Áo thun Nike 1",NULL,NULL,NULL,NULL,200000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
2,1,1,"Áo thun Nike 2",NULL,NULL,NULL,NULL,210000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
3,1,2,"Áo Adidas 1",NULL,NULL,NULL,NULL,220000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
4,1,3,"Áo Uniqlo 1",NULL,NULL,NULL,NULL,190000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
5,2,1,"Quần Nike 1",NULL,NULL,NULL,NULL,300000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
6,2,2,"Quần Adidas 1",NULL,NULL,NULL,NULL,320000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
7,2,3,"Quần Uniqlo 1",NULL,NULL,NULL,NULL,280000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
8,3,1,"Giày Nike 1",NULL,NULL,NULL,NULL,800000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
9,3,2,"Giày Adidas 1",NULL,NULL,NULL,NULL,900000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
10,3,3,"Giày Uniqlo 1",NULL,NULL,NULL,NULL,750000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
11,1,4,"Áo Zara 1",NULL,NULL,NULL,NULL,250000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
12,1,5,"Áo Local 1",NULL,NULL,NULL,NULL,180000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
13,2,4,"Quần Zara 1",NULL,NULL,NULL,NULL,350000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
14,2,5,"Quần Local 1",NULL,NULL,NULL,NULL,270000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
15,3,4,"Giày Zara 1",NULL,NULL,NULL,NULL,850000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
16,1,1,"Áo Nike 3",NULL,NULL,NULL,NULL,230000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
17,1,2,"Áo Adidas 2",NULL,NULL,NULL,NULL,240000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
18,1,3,"Áo Uniqlo 2",NULL,NULL,NULL,NULL,210000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
19,2,1,"Quần Nike 2",NULL,NULL,NULL,NULL,310000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
20,2,2,"Quần Adidas 2",NULL,NULL,NULL,NULL,330000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
21,3,1,"Giày Nike 2",NULL,NULL,NULL,NULL,820000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
22,3,2,"Giày Adidas 2",NULL,NULL,NULL,NULL,920000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
23,3,3,"Giày Uniqlo 2",NULL,NULL,NULL,NULL,780000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
24,4,5,"Mũ Local 1",NULL,NULL,NULL,NULL,120000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
25,4,5,"Túi Local 1",NULL,NULL,NULL,NULL,150000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
26,4,5,"Dây nịt 1",NULL,NULL,NULL,NULL,100000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
27,1,4,"Áo Zara 2",NULL,NULL,NULL,NULL,260000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
28,2,4,"Quần Zara 2",NULL,NULL,NULL,NULL,360000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
29,3,4,"Giày Zara 2",NULL,NULL,NULL,NULL,870000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
30,4,4,"Kính Zara",NULL,NULL,NULL,NULL,200000.00,NULL,0.00,0,0,active,"2026-03-30 12:12:13","2026-03-30 12:12:13"
